,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
66366,66367,Merry Wives of Windsor,2.0,4.3.5,Host,not of him in the court. Let me speak with the
66367,66368,Merry Wives of Windsor,2.0,4.3.6,Host,gentlemen: they speak English?
66368,66369,Merry Wives of Windsor,3.0,4.3.7,BARDOLPH,"Ay, sir, I'll call them to you."
66369,66370,Merry Wives of Windsor,4.0,4.3.8,Host,"They shall have my horses, but I'll make them pay,"
66370,66371,Merry Wives of Windsor,4.0,4.3.9,Host,I'll sauce them: they have had my house a week at
66371,66372,Merry Wives of Windsor,4.0,4.3.10,Host,"command, I have turned away my other guests: they"
66372,66373,Merry Wives of Windsor,4.0,4.3.11,Host,"must come off, I'll sauce them. Come."
66373,66374,Merry Wives of Windsor,4.0,,Host,Exeunt
66374,66375,Merry Wives of Windsor,4.0,,Host,SCENE IV. A room in FORD'S house.
66375,66376,Merry Wives of Windsor,4.0,,Host,"Enter PAGE, FORD, MISTRESS PAGE, MISTRESS FORD, and SIR HUGH EVANS"
66376,66377,Merry Wives of Windsor,1.0,4.4.1,SIR HUGH EVANS,'Tis one of the best discretions of a 'oman as ever
66377,66378,Merry Wives of Windsor,1.0,4.4.2,SIR HUGH EVANS,I did look upon.
66378,66379,Merry Wives of Windsor,2.0,4.4.3,PAGE,And did he send you both these letters at an instant?
66379,66380,Merry Wives of Windsor,3.0,4.4.4,MISTRESS PAGE,Within a quarter of an hour.
66380,66381,Merry Wives of Windsor,4.0,4.4.5,FORD,"Pardon me, wife. Henceforth do what thou wilt,"
66381,66382,Merry Wives of Windsor,4.0,4.4.6,FORD,I rather will suspect the sun with cold
66382,66383,Merry Wives of Windsor,4.0,4.4.7,FORD,Than thee with wantonness: now doth thy honour stand
66383,66384,Merry Wives of Windsor,4.0,4.4.8,FORD,"In him that was of late an heretic,"
66384,66385,Merry Wives of Windsor,4.0,4.4.9,FORD,As firm as faith.
66385,66386,Merry Wives of Windsor,5.0,4.4.10,PAGE,"'Tis well, 'tis well, no more:"
66386,66387,Merry Wives of Windsor,5.0,4.4.11,PAGE,Be not as extreme in submission
66387,66388,Merry Wives of Windsor,5.0,4.4.12,PAGE,As in offence.
66388,66389,Merry Wives of Windsor,5.0,4.4.13,PAGE,But let our plot go forward: let our wives
66389,66390,Merry Wives of Windsor,5.0,4.4.14,PAGE,"Yet once again, to make us public sport,"
66390,66391,Merry Wives of Windsor,5.0,4.4.15,PAGE,"Appoint a meeting with this old fat fellow,"
66391,66392,Merry Wives of Windsor,5.0,4.4.16,PAGE,Where we may take him and disgrace him for it.
66392,66393,Merry Wives of Windsor,6.0,4.4.17,FORD,There is no better way than that they spoke of.
66393,66394,Merry Wives of Windsor,7.0,4.4.18,PAGE,How? to send him word they'll meet him in the park
66394,66395,Merry Wives of Windsor,7.0,4.4.19,PAGE,"at midnight? Fie, fie! he'll never come."
66395,66396,Merry Wives of Windsor,8.0,4.4.20,SIR HUGH EVANS,You say he has been thrown in the rivers and has
66396,66397,Merry Wives of Windsor,8.0,4.4.21,SIR HUGH EVANS,been grievously peaten as an old 'oman: methinks
66397,66398,Merry Wives of Windsor,8.0,4.4.22,SIR HUGH EVANS,there should be terrors in him that he should not
66398,66399,Merry Wives of Windsor,8.0,4.4.23,SIR HUGH EVANS,"come, methinks his flesh is punished, he shall have"
66399,66400,Merry Wives of Windsor,8.0,4.4.24,SIR HUGH EVANS,no desires.
66400,66401,Merry Wives of Windsor,9.0,4.4.25,PAGE,So think I too.
66401,66402,Merry Wives of Windsor,10.0,4.4.26,MISTRESS FORD,"Devise but how you'll use him when he comes,"
66402,66403,Merry Wives of Windsor,10.0,4.4.27,MISTRESS FORD,And let us two devise to bring him thither.
66403,66404,Merry Wives of Windsor,11.0,4.4.28,MISTRESS PAGE,"There is an old tale goes that Herne the hunter,"
