,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
70909,70910,Much Ado about nothing,13.0,3.5.21,DOGBERRY,"Yea, an 'twere a thousand pound more than 'tis, for"
70910,70911,Much Ado about nothing,13.0,3.5.22,DOGBERRY,I hear as good exclamation on your worship as of any
70911,70912,Much Ado about nothing,13.0,3.5.23,DOGBERRY,"man in the city, and though I be but a poor man, I"
70912,70913,Much Ado about nothing,13.0,3.5.24,DOGBERRY,am glad to hear it.
70913,70914,Much Ado about nothing,14.0,3.5.25,VERGES,And so am I.
70914,70915,Much Ado about nothing,15.0,3.5.26,LEONATO,I would fain know what you have to say.
70915,70916,Much Ado about nothing,16.0,3.5.27,VERGES,"Marry, sir, our watch to-night, excepting your"
70916,70917,Much Ado about nothing,16.0,3.5.28,VERGES,"worship's presence, ha' ta'en a couple of as arrant"
70917,70918,Much Ado about nothing,16.0,3.5.29,VERGES,knaves as any in Messina.
70918,70919,Much Ado about nothing,17.0,3.5.30,DOGBERRY,"A good old man, sir, he will be talking: as they"
70919,70920,Much Ado about nothing,17.0,3.5.31,DOGBERRY,"say, when the age is in, the wit is out: God help"
70920,70921,Much Ado about nothing,17.0,3.5.32,DOGBERRY,"us! it is a world to see. Well said, i' faith,"
70921,70922,Much Ado about nothing,17.0,3.5.33,DOGBERRY,"neighbour Verges: well, God's a good man, an two men"
70922,70923,Much Ado about nothing,17.0,3.5.34,DOGBERRY,"ride of a horse, one must ride behind. An honest"
70923,70924,Much Ado about nothing,17.0,3.5.35,DOGBERRY,"soul, i' faith, sir, by my troth he is, as ever"
70924,70925,Much Ado about nothing,17.0,3.5.36,DOGBERRY,"broke bread, but God is to be worshipped, all men"
70925,70926,Much Ado about nothing,17.0,3.5.37,DOGBERRY,"are not alike, alas, good neighbour!"
70926,70927,Much Ado about nothing,18.0,3.5.38,LEONATO,"Indeed, neighbour, he comes too short of you."
70927,70928,Much Ado about nothing,19.0,3.5.39,DOGBERRY,Gifts that God gives.
70928,70929,Much Ado about nothing,20.0,3.5.40,LEONATO,I must leave you.
70929,70930,Much Ado about nothing,21.0,3.5.41,DOGBERRY,"One word, sir: our watch, sir, have indeed"
70930,70931,Much Ado about nothing,21.0,3.5.42,DOGBERRY,"comprehended two aspicious persons, and we would"
70931,70932,Much Ado about nothing,21.0,3.5.43,DOGBERRY,have them this morning examined before your worship.
70932,70933,Much Ado about nothing,22.0,3.5.44,LEONATO,Take their examination yourself and bring it me: I
70933,70934,Much Ado about nothing,22.0,3.5.45,LEONATO,"am now in great haste, as it may appear unto you."
70934,70935,Much Ado about nothing,23.0,3.5.46,DOGBERRY,It shall be suffigance.
